"# of Use","Utilisation numéro #",,"# of Use",WAHR
"Set special price","Définir prix spécial",,"Share Facebook",FALSCH
"Set/Get current store view","Réglez/Obtenez la vue actuelle du magasin",,"Share on Facebook",FALSCH
"Settings","Options",,"Share on Twitter",FALSCH
"Share Facebook","Partager Facebook",,"Shop By",FALSCH
"Share on Facebook","Partager sur Facebook",,"Shopping Options",FALSCH
"Share on Twitter","Partager sur Twitter",,"Short Description",FALSCH
"Shop By","Acheter par",,"Show",FALSCH
"Shopping Options","Options d'Achat",,"Show Details",FALSCH
"Short Description","Description courte",,"Show Tags",FALSCH
"Show","Afficher",,"Simple Product",FALSCH
"Show Details","Afficher les détails",,"Site Map",FALSCH
"Show Tags","Afficher Tags",,"Sitemap",FALSCH
"Simple Product","Produit Simple",,"Skip import row, is not valid value ""%s"" for field ""%s""",FALSCH
"Site Map","Plan du Site",,"Skip import row, required field ""%s"" for the new customer is not defined.",FALSCH
"Sitemap","Plan du site",,"Skip import row, the value ""%s"" is invalid for field ""%s""",FALSCH
"Skip import row, is not valid value ""%s"" for field ""%s""","Sauter la ligne d'importation, ""%s"" n'est une valeur valable pour le champ ""%s""",,"Skipping import row, required field ""%s"" for new products is not defined.",FALSCH
"Skip import row, required field ""%s"" for the new customer is not defined.","Sauter la ligne importation, le champ requis ""%s"" pour le nouveau client n'est pas défini.",,"Skipping import row, required field ""%s"" is not defined.",FALSCH
"Skip import row, the value ""%s"" is invalid for field ""%s""","Sauter la ligne d'importation, la valeur ""%s"" n'est pas valable pour le champ ""%s""",,"Skipping import row, store ""%s"" field does not exist.",FALSCH
"Skipping import row, required field ""%s"" for new products is not defined.","Saut de la ligne importation en cours, le champ ""%s"", requis pour les nouveaux produits, n'est pas défini.",,"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.",FALSCH
"Skipping import row, required field ""%s"" is not defined.","Sauter la ligne d'importation, le champ requis ""%s"" n'est pas défini.",,"Small Image Width",FALSCH
"Skipping import row, store ""%s"" field does not exist.","Sauter la ligne d'importation, le champ point de vente ""%s"" n'existe pas.",,"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.",FALSCH
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Sauter la ligne d'importation, la valeur ""%s"" est invalide pour le champ ""%s"".",,"Some of the selected item options are not currently available.",FALSCH
"Small Image Width","Small Image Width","+","Sort By",FALSCH
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Certains des produits traités n'ont pas de valeur UGS définie. Veuillez la saisir avant d'effectuer des opérations sur ces produits.",,"Sort Order",FALSCH
"Some of the processed products have no SKU value. Please fill it.","Certains des produits traités n'ont pas de valeur UGS. Se il vous plaît remplir.",,"Source Model",FALSCH
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Some of the products below do not have all the required options. Please edit them and configure all the required options.","+","Special Expires On: %s",FALSCH
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","Some of the products below do not have all the required options. Please remove them and add again with all the required options.","+","Special Price",FALSCH
"Some of the selected item options are not currently available.","Certaines des options d'article sélectionnées ne sont actuellement pas disponibles.",,"Special Price:",FALSCH
"Sort By","Trier par",,"Special Price: %s",FALSCH
"Sort Order","Trier la commande",,"Special Price From Date",FALSCH
"Source Model","Modèle source",,"Special Price To Date",FALSCH
"Special Expires On: %s","Spécial expire le : %s",,"Starting at:",FALSCH
"Special Price","Prix Spécial",,"Static",FALSCH
"Special Price:","Prix Spécial :",,"Static block and products",FALSCH
"Special Price: %s","Prix spécial : %s",,"Static block only",FALSCH
"Special Price From Date","Special Price From Date","+","Status",FALSCH
"Special Price To Date","Special Price To Date","+","Stock Availability",FALSCH
"Starting at:","Dès:",,"Store",FALSCH
"Static","Statique",,"Store View",FALSCH
"Static block and products","Bloc statique et produits",,"Stretch",FALSCH
"Static block only","Bloc statique uniquement",,"Subscribe to RSS Feed",FALSCH
"Status","Statut",,"Super product attributes configuration",FALSCH
"Stock Availability","Disponibilité du Stock",,"Synonym For",FALSCH
"Store","Magasin",,"System Properties",FALSCH
"Store View","Vue du magasin",,"Tag Name",FALSCH
"Stretch","Étirer",,"Tax",FALSCH
"Subscribe to RSS Feed","S'abonner au flux RSS",,"Template",FALSCH
"Super product attributes configuration","Configuration attributs super produit",,"Text",FALSCH
"Synonym For","Synonyme de",,"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module",FALSCH
"System Properties","Propriétés Système",,"The From Date value should be less than or equal to the To Date value.",FALSCH
"Tag Name","Nom de l'étiquette",,"The attribute code \'%s\' is reserved by system. Please try another attribute code",FALSCH
"Tax","Taxe",,"The attribute model is not defined",FALSCH
"Template","Modèle visuel",,"The attribute set has been saved.",FALSCH
"Text","Texte",,"The base directory to upload file is not specified.",FALSCH
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","La module du Catalogue fixe a une limite de %2\$d attributs filtrables et/ou triables. Il y en a actuellement %1\$d. Veuillez réduire le nombre d'attributs filtrables/triables afin d'utiliser ce module.",,"The category has been deleted.",FALSCH
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","La module du Catalogue fixe a une limite de %2\$d attributs filtrables et/ou triables. Il y en a actuellement %1\$d. Veuillez réduire le nombre d'attributs filtrables/triables afin d'utiliser ce module.",,"The category has been saved.",FALSCH
"The From Date value should be less than or equal to the To Date value.","The From Date value should be less than or equal to the To Date value.","+","The comparison list was cleared.",FALSCH
"The attribute code \'%s\' is reserved by system. Please try another attribute code","Le code d'attribut  \'%s\' est réservé par le système. Veuillez essayer un autre code",,"The file '%s' for '%s' has an invalid extension",FALSCH
"The attribute model is not defined","Le modèle d'attribut n'est pas défini.",,"The file '%s' you uploaded is larger than %s Megabytes allowed by server",FALSCH
"The attribute set has been saved.","L'ensemble d'attributs a été enregistré.",,"The file you uploaded is larger than %s Megabytes allowed by server",FALSCH
"The base directory to upload file is not specified.","Le répertoire de base pour télécharger le fichier n'est pas spécifié.",,"The filters must be an array.",FALSCH
"The base directory to upload image file is not specified.","Le répertoire de base pour télécharger le image n'est pas spécifié.",,"The image contents is not valid base64 data.",FALSCH
"The category has been deleted.","La catégorie a été supprimée.",,"The image is not specified.",FALSCH
"The category has been saved.","La catégorie a été sauvegardée.",,"The model collection resource name is not defined.",FALSCH
"The comparison list was cleared.","La liste de comparative a été vidée.",,"The product %s has been added to comparison list.",FALSCH
"The email template is not specified by administrator.","The email template is not specified by administrator.","+","The product %s has been removed from comparison list.",FALSCH
"The file '%s' for '%s' has an invalid extension","Le fichier '%s' pour '%s' a une extension invalide",,"The product attribute has been deleted.",FALSCH
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Le fichier '%s' que vous ave envoyé est plus gros que les %s Mb autorisés par le serveur",,"The product attribute has been saved.",FALSCH
"The file you uploaded is larger than %s Megabytes allowed by server","Le fichier que vous avez téléchargé est supérieur aux %s Mb autorisés par le serveur",,"The product has been created.",FALSCH
"The filters must be an array.","Les filtres doivent être une matrice.",,"The product has been deleted.",FALSCH
"The image contents is not valid base64 data.","Le contenu de l'image n'est pas valide en données de base64.",,"The product has been duplicated.",FALSCH
"The image is not specified.","L'image n'est pas spécifiée.",,"The product has been saved.",FALSCH
"The model collection resource name is not defined.","Le nom de la ressource du modèle collection n'est pas défini.",,"The product has required options",FALSCH
"The product %s has been added to comparison list.","Le produit %s a été ajouté à la liste comparative.",,"The review has been deleted",FALSCH
"The product %s has been removed from comparison list.","Le produit %s a été retiré de la liste comparative.",,"The review has been saved.",FALSCH
"The product attribute has been deleted.","L'attribut produit a été supprimé.",,"The review was removed by another user or does not exist.",FALSCH
"The product attribute has been saved.","L'attribut produit a été sauvegardé.",,"The search was deleted.",FALSCH
"The product has been created.","Le produit a été créé.",,"The text is too long",FALSCH
"The product has been deleted.","Le produit a été supprimé.",,"There are no %s available.",FALSCH
"The product has been duplicated.","Le produit a été dupliqué.",,"There are no customers for this alert",FALSCH
"The product has been saved.","Le produit a été sauvegardé.",,"There are no customers for this alert.",FALSCH
"The product has required options","Le produit a des options obligatoires.",,"There are no products matching the selection.",FALSCH
"The review has been deleted","Le rapport a été supprimé",,"There was an error while request processing.",FALSCH
"The review has been saved.","Le rapport a été enregistré.",,"This Attribute no longer exists",FALSCH
"The review was removed by another user or does not exist.","Le rapport a été supprimé par un autre utilisateur ou n'existe pas.",,"This attribute cannot be deleted.",FALSCH
"The search was deleted.","La recherche a été supprimée.",,"This attribute cannot be edited.",FALSCH
"The text is too long","Le texte est trop long",,"This attribute cannot be updated.",FALSCH
"There are no %s available.","Il n'y a pas de %s disponible.",,"This attribute is used in configurable products.",FALSCH
"There are no customers for this alert","Il n'y a pas de client pour cette alerte.",,"This attribute is used in configurable products. You cannot remove it from the attribute set.",FALSCH
"There are no customers for this alert.","Il n'y a pas de client pour cette alerte.",,"This attribute no longer exists",FALSCH
"There are no products matching the selection.","Aucun produit ne correspond à la sélection.",,"This attribute set no longer exists.",FALSCH
"There was an error while request processing.","Une erreur s'est produite lors du traitement de votre demande.",,"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.",FALSCH
"This Attribute no longer exists","Cet attribut n'existe plus",,"This group contains system attributes. Please move system attributes to another group and try again.",FALSCH
"This attribute cannot be deleted.","L'attribut ne peut pas être supprimé.",,"This is a required option",FALSCH
"This attribute cannot be edited.","Cet attribut ne peut pas être modifié.",,"This product no longer exists.",FALSCH
"This attribute cannot be updated.","L'attribut ne peut pas être mis à jour.",,"This search no longer exists.",FALSCH
"This attribute is used in configurable products.","Cet attribut est utilisé dans les produits configurables.",,"This setting will be applied when all prices in the specific price interval are equal.",FALSCH
"This attribute is used in configurable products. You cannot remove it from the attribute set.","L'attribut est utilisé dans des produits paramétrables. Vous ne pouvez pas le retirer de la série d'attributs.",,"Tier Price",FALSCH
"This attribute no longer exists","Cet attribut n'existe plus",,"Tier Pricing",FALSCH
"This attribute set no longer exists.","La série d'attributs n'existe plus.",,"Tile",FALSCH
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Le groupe contient des attributs, utilisés dans des produits paramétrables. Veuillez déplacer ces attributs vers un autre groupe et réessayer.",,"Time Format",FALSCH
"This group contains system attributes. Please move system attributes to another group and try again.","Le groupe contient des attributs système. Veuillez déplacer les attributs système vers un autre groupe et réessayer.",,"Title",FALSCH
"This is a required option","Cette option est requise",,"To reindex the enabled product(s), the store or product must be specified",FALSCH
"This product no longer exists.","Ce produit n'existe plus.",,"To see product price, add this item to your cart. You can always remove it later.",FALSCH
"This search no longer exists.","Cette recherche n'existe plus.",,"Top/Left",FALSCH
"This setting will be applied when all prices in the specific price interval are equal.","Ce paramètre sera appliqué lorsque tous les prix dans l'intervalle de prix spécifique sont égaux.",,"Top/Right",FALSCH
"Tier Price","Tier Price","+","Total Qty Base Items",FALSCH
"Tier Pricing","Catégorie de prix",,"Total Qty Content Items",FALSCH
"Tile","Carreau",,"Total incl. Tax: %1$s",FALSCH
"Time Format","Format horaire",,"Total of %d record(s) have been deleted.",FALSCH
"Title","Titre",,"Total of %d record(s) have been updated.",FALSCH
"To reindex the enabled product(s), the store or product must be specified","Pour réindexer les produits activés, la boutique ou le produit doit être spécifié",,"Total of %d record(s) were updated",FALSCH
"To reindex the enabled product(s), the store or product must be specified.","Pour réindexer les produits activés, la boutique ou le produit doit être spécifié.",,"Type",FALSCH
"To see product price, add this item to your cart. You can always remove it later.","Pour voir le prix du produit, ajoutez ce produit à votre panier. Vous pourrez toujours le supprimer plus tard.",,"URL Rewrite Management",FALSCH
"Top/Left","Supérieur/Gauche",,"Unable to complete this request.",FALSCH
"Top/Right","Haut / Droite",,"Unable to find a search term to delete.",FALSCH
"Total Qty Base Items","Qté Totale d'articles de base",,"Unable to find an attribute to delete.",FALSCH
"Total Qty Content Items","Qté totale des articles contenus",,"Unable to get the product ID.",FALSCH
"Total incl. Tax: %1$s","Total, TVA incl. : %1s",,"Unassigned Attributes",FALSCH
"Total of %d record(s) have been deleted.","Un total de %d entrée(s) ont été supprimées.",,"Unknown EAV indexer type ""%s"".",FALSCH
"Total of %d record(s) have been updated.","Un total de %d entrée(s) ont été mises à jour.",,"Unknown attribute: %s.",FALSCH
"Total of %d record(s) were updated","Un total de %d enregistrements ont été mis à jour.",,"Unsupported product type ""%s"".",FALSCH
"Type","Type",,"Up-sells",FALSCH
"URL Rewrite Management","Gestion de réécriture d'URL",,"Update",FALSCH
"Unable to complete this request.","Impossible de répondre à la demande.",,"Update Attributes",FALSCH
"Unable to find a search term to delete.","Impossible de trouver un terme de recherche à supprimer.",,"Update Tier Price",FALSCH
"Unable to find an attribute to delete.","Impossible de trouver un attribut à supprimer.",,"Update assigned product",FALSCH
"Unable to get the product ID.","Impossible d'obtenir l'ID produit.",,"Update attribute",FALSCH
"Unassigned Attributes","Attributs non assignés",,"Update attributes",FALSCH
"Unknown EAV indexer type ""%s"".","Type d’indexer EAV inconnu ""%s"".",,"Update category",FALSCH
"Unknown attribute: %s.","Attribut inconnu: %s.",,"Update custom option of product",FALSCH
"Unsupported product type ""%s"".","Type de produit ""%s"" non pris en charge.",,"Update product",FALSCH
"Up-sells","Ventes additionnelles",,"Update product image",FALSCH
"Update","Mise à jour",,"Update product link",FALSCH
"Update Attributes","Mettre à jour les attributs",,"Update product tier prices",FALSCH
"Update Tier Price","Mettre à jour le niveau de prix",,"Update value of custom option",FALSCH
"Update assigned product","Mettre à jour le produit assigné",,"Upload new product image ",FALSCH
"Update attribute","Mettre à jour l'attribut",,"Use Canonical Link Meta Tag For Categories",FALSCH
"Update attributes","Attributs de la mise à jour",,"Use Canonical Link Meta Tag For Products",FALSCH
"Update category","Mettre à jour la catégorie",,"Use Categories Path for Product URLs",FALSCH
"Update custom option of product","Mettre à jour l'option personnalisée du produit",,"Use Config Settings",FALSCH
"Update product","Mettre à jour le produit",,"Use Default Value",FALSCH
"Update product image","Mettre à jour l'image du produit",,"Use Flat Catalog Category",FALSCH
"Update product link","Mettre à jour le lien du produit",,"Use Flat Catalog Product",FALSCH
"Update product tier prices","Mettre à jour le niveau des prix du produit",,"Use In Layered Navigation",FALSCH
"Update value of custom option","Mettre à jour la valeur de l'option personnalisée",,"Use In Search Results Layered Navigation",FALSCH
"Upload new product image ","Charger une nouvelle image produit",,"Use JavaScript Calendar",FALSCH
"Url Rewrite Management","Url Rewrite Management","+","Use Static URLs for Media Content in WYSIWYG for Catalog",FALSCH
"Use Canonical Link Meta Tag For Categories","Utiliser les méta-données du lien canonique pour les catégories",,"Use To Create Configurable Product",FALSCH
"Use Canonical Link Meta Tag For Products","Utiliser Canonical Link Meta Tag pour les produits",,"Use Tree Like Category Sitemap",FALSCH
"Use Categories Path for Product URLs","Utiliser le Chemin des Catégories pour les URL de Produits",,"Use config",FALSCH
"Use Config Settings","Utiliser les Paramètres de Configuration",,"Use default",FALSCH
"Use Default Value","Utiliser la valeur par défaut",,"Use for Promo Rule Conditions",FALSCH
"Use Flat Catalog Category","Utiliser la Catégorie des Catalogues à Plat",,"Use four-digit year format.",FALSCH
"Use Flat Catalog Product","Utiliser un Produit de Catalogue à Plat",,"Use in Advanced Search",FALSCH
"Use In Layered Navigation","Utiliser en Navigation par Couches",,"Use in Layered Navigation",FALSCH
"Use In Search Results Layered Navigation","Utilisez la page de résultats de navigation en couches",,"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')",FALSCH
"Use JavaScript Calendar","Utiliser le Calendrier JavaScript",,"Use in Quick Search",FALSCH
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utilisez des URL statiques pour le contenu multimédia en mode WYSIWYG pour le catalogue",,"Used for Sorting in Product Listing",FALSCH
"Use To Create Configurable Product","Permet de créer des produits configurables",,"Used in Product Listing",FALSCH
"Use Tree Like Category Sitemap","Utiliser la carte du site sous forme de hiérarchie",,"Value for ""%s"" is invalid.",FALSCH
"Use config","Utiliser config",,"Value for ""%s"" is invalid: %s",FALSCH
"Use default","Utiliser le défaut",,"Varchar",FALSCH
"Use for Promo Rule Conditions","Utiliser pour les conditions de la promotion",,"View Details",FALSCH
"Use four-digit year format.","Utiliser un format de date sur quatre caractères",,"View as",FALSCH
"Use in Advanced Search","Utiliser en recherche avancée",,"Virtual Product",FALSCH
"Use in Layered Navigation","Utiliser dans la navigation en couches",,"Visibility",FALSCH
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Utiliser en Navigation par Couches<br/>(Utilisable seulement avec le type d'entrée catalogue 'Liste déroulante')",,"Visible",FALSCH
"Use in Quick Search","Utilisation dans la recherche rapide",,"Visible on Catalog Pages on Front-end",FALSCH
"Used for Sorting in Product Listing","Utilisé pour Trier dans une Liste de Produits",,"Visible on Product View Page on Front-end",FALSCH
"Used in Product Listing","Utilisé dans une Liste de Produits",,"WYSIWYG Editor",FALSCH
"Value for ""%s"" is invalid.","La valeur pour ""%s"" est invalide.",,"Watermark",FALSCH
"Value for ""%s"" is invalid: %s","La valeur pour ""%s"" est invalide : %s",,"Watermark Default Size",FALSCH
"Varchar","Varchar",,"Watermark Opacity, Percent",FALSCH
"View Details","Afficher détails",,"Watermark Position",FALSCH
"View as","Visualiser comme",,"We Also Recommend",FALSCH
"Virtual Product","Produit virtuel",,"Website",FALSCH
"Visibility","Visibilité",,"Website Item Must be checked",FALSCH
"Visible","Visible",,"Website Store Must be checked",FALSCH
"Visible on Catalog Pages on Front-end","Visible sur les Pages Catalogue dans l'interface utilisateur",,"Websites",FALSCH
"Visible on Product View Page on Front-end","Visible sur la Page Vue Produit dans l'interface utilisateur",,"What's this?",FALSCH
"WYSIWYG Editor","Éditeur WYSIWYG",,"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.",FALSCH
"Watermark","Filigrane",,"Will make search for the query above return results for this search.",FALSCH
"Watermark Default Size","Taille par Défaut du Filigrane",,"Wrong BuyRequest instance in options group.",FALSCH
"Watermark Opacity, Percent","Opacité du Filigrane, en Pourcentage",,"Wrong configuration item instance in options group.",FALSCH
"Watermark Position","Position du Filigrane",,"Wrong configuration item option instance in options group.",FALSCH
"We Also Recommend","Nous conseillons aussi",,"Wrong option instance type in options group.",FALSCH
"Website","Site",,"Wrong option type to get group instance.",FALSCH
"Website Item Must be checked","L'élément de Site Web doit être vérifié",,"Wrong product instance type in options group.",FALSCH
"Website Store Must be checked","Le site web du magasin doit être vérifié",,"Wrong product type filter specified",FALSCH
"Websites","Site web",,"Wrong product type to extract configurable options.",FALSCH
"What's this?","Qu'est-ce ?",,"Year Range",FALSCH
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Afficher ""Toutes"" les options dans la liste déroulante ""Afficher x par page"".",,"Yes",FALSCH
"Will make search for the query above return results for this search.","Effectuera une recherche pour la question ci-dessus et reviendra aux résultats de cette recherche.",,"You cannot remove system attribute from this set.",FALSCH
"Wrong BuyRequest instance in options group.","Mauvaise instance de Buyrequest dans le groupe d'options.",,"You have no items to compare.",FALSCH
"Wrong configuration item instance in options group.","Configuration de l'instance d'objet incorrecte dans les options de groupe",,"You may also be interested in the following product(s)",FALSCH
"Wrong configuration item option instance in options group.","Configuration de l'instance d'objet incorrecte dans les options de groupe",,"Zoom In",FALSCH
"Wrong option instance type in options group.","Mauvaise instance d'options dans le groupe d'options.",,"Zoom Out",FALSCH
"Wrong option type to get group instance.","Mauvais type d'option pour obtenir l'instance du groupe.",,"and",FALSCH
"Wrong product instance type in options group.","Mauvais type de produit d'exemple dans le groupe d'options.",,"and above",FALSCH
"Wrong product type filter specified","Mauvais filtre de type de produit spécifié",,"categories",FALSCH
"Wrong product type to extract configurable options.","Mauvais type de produit pour extraire des options configurables.",,"comma separated",FALSCH
"Wrong quote item instance in options group.","Wrong quote item instance in options group.","+","each",FALSCH
"Wrong quote item option instance in options group.","Wrong quote item option instance in options group.","+","ex. http://domain.com",FALSCH
"Year Range","Années",,"leave blank if its not an image",FALSCH
"Yes","Oui",,"per page",FALSCH
"You cannot email this product to a friend.","You cannot email this product to a friend.","+","products",FALSCH
"You cannot remove system attribute from this set.","Vous ne pouvez pas retirer d'attribut système de cet ensemble.",,"px.",FALSCH
"You cannot send more than %d emails at a time.","You cannot send more than %d emails at a time.","+","save",FALSCH
"You have exceeded limit of %d sends in an hour.","You have exceeded limit of %d sends in an hour.","+","select all",FALSCH
"You have no items to compare.","Vous n'avez pas d'articles à comparer.",,"unselect all",FALSCH
"You have to specify at least one recipient.","You have to specify at least one recipient.","+","x",FALSCH
"You may also be interested in the following product(s)","Vous pourriez aussi être intéressé(e) par le(s) produit(s) suivant(s)",,,
"Zoom In","Zoom avant",,,
"Zoom Out","Zoom Arrière",,,
"[GLOBAL]","[GLOBAL]",,,
"and","et",,,
"and above","et ci-dessus",,,
"categories","catégories",,,
"comma separated","comma separated","+",,
"each","chaque",,,
"ex. http://domain.com","ex. http://domain.fr",,,
"leave blank if its not an image","laisser vide si ce n'est pas une image",,,
"per page","par page",,,
"products","produits",,,
"px.","px.",,,
"save","enregistrer",,,
"select all","sélectionner tous",,,
"unselect all","désélectionner tous",,,
"x","x",,,
